ticker,close,pct_change_1w,avg_volume_5d,listing
PWR,372.5,-3.49,858400,USD
APO,131.55,-3.55,4142640,USD
CVX,153.66,-3.55,8737800,USD
XOM,109.23,-3.63,14882740,USD
CSCO,66.9,-3.64,16727720,USD
WFC,78.96,-3.68,13604260,USD
DE,473.26,-3.7,1480080,USD
RCL,352.27,-3.71,1478020,USD
TGT,93.17,-3.76,7527560,USD
ALB,81.54,-3.98,3282000,USD
SBAC,197.74,-4.03,1610960,USD
IBKR,60.16,-4.05,7283180,USD
AES,12.93,-4.08,9881940,USD
LUV,31.39,-4.29,6751680,USD
NI,40.33,-4.3,6574380,USD
OKE,72.63,-4.3,3678720,USD
FAST,47.99,-4.36,5716300,USD
VST,188.0,-4.42,3803860,USD
MOS,32.45,-4.42,3619680,USD
WYNN,120.9,-4.61,1999480,USD
ERIE,335.07,-4.64,147280,USD
NKE,73.91,-4.65,12487720,USD
ABNB,123.81,-5.1,5028620,USD
NXPI,226.74,-5.16,2520740,USD
EOG,117.93,-5.16,2404320,USD
UBER,90.99,-5.18,16114480,USD
SCHW,92.05,-5.19,9914420,USD
CVE.TO,22.11,-5.27,9096240,CAD
AMP,489.28,-5.29,470760,USD
CRWD,417.63,-5.51,3443160,USD
COP,92.95,-5.59,6740560,USD
CEG,301.58,-5.62,2141200,USD
TTD,52.07,-5.94,9279440,USD
STZ,148.43,-6.7,3641900,USD
AXON,728.41,-6.84,498900,USD
DELL,124.83,-6.88,10552460,USD
LVS,53.7,-6.95,4857180,USD
FANG,138.71,-7.01,1658460,USD
XYZ,74.94,-7.23,5516440,USD
NVDA,167.02,-7.3,200901840,USD
MGM,36.68,-7.35,4121820,USD
TXN,187.93,-7.92,7895500,USD
SMCI,40.41,-8.1,26288740,USD
GEV,582.08,-8.14,3572000,USD
KVUE,18.62,-9.35,38692020,USD
DLTR,101.12,-10.12,7719780,USD
AMD,151.14,-10.35,43398700,USD
LULU,167.8,-18.18,12779980,USD
